id,student_id,academic_year,semester,weighted_average,total_credits,failed_courses,status_at_time,failed_courses_json,academic_year_label,year_level,result_type,created_at
1,2,2021,1,67.06,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
2,2,2021,2,65.43,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
3,3,2021,1,63.58,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
4,3,2021,2,59.62,17,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
5,3,2022,1,79.99,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
6,3,2022,2,99.38,18,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
7,3,2023,1,65.33,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
8,3,2023,2,66.4,18,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
9,3,2024,1,72.18,16,0,PROMOTED,,2024/2025,4,PROMOTED,2025-01-15T00:00:00
10,3,2024,2,52.78,18,2,CARRY_OVER,,2024/2025,4,CARRY_OVER,2025-06-15T00:00:00
11,4,2021,1,63.65,18,1,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
12,4,2021,2,71.32,15,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
13,4,2022,1,61.27,18,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
14,4,2022,2,86.37,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
15,4,2023,1,56.47,16,1,CARRY_OVER,,2023/2024,3,CARRY_OVER,2024-01-15T00:00:00
16,4,2023,2,82.81,19,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
17,5,2021,1,89.62,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
18,5,2021,2,76.58,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
19,5,2022,1,70.35,15,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
20,5,2022,2,74.96,16,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
21,7,2021,1,66.71,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
22,7,2021,2,47.57,15,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-06-15T00:00:00
23,8,2021,1,60.25,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
24,8,2021,2,71.87,19,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
25,8,2022,1,60.71,15,2,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-01-15T00:00:00
26,8,2022,2,67.04,20,0,PROMOTED,,2022/2023,2,PROMOTED,2023-06-15T00:00:00
27,8,2023,1,77.75,17,0,PROMOTED,,2023/2024,3,PROMOTED,2024-01-15T00:00:00
28,8,2023,2,73.74,16,0,PROMOTED,,2023/2024,3,PROMOTED,2024-06-15T00:00:00
29,9,2021,1,84.7,17,0,PROMOTED,,2021/2022,1,PROMOTED,2022-01-15T00:00:00
30,9,2021,2,75.53,18,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
31,9,2022,1,76.24,19,0,PROMOTED,,2022/2023,2,PROMOTED,2023-01-15T00:00:00
32,9,2022,2,63.45,15,1,CARRY_OVER,,2022/2023,2,CARRY_OVER,2023-06-15T00:00:00
33,10,2021,1,56.03,15,2,CARRY_OVER,,2021/2022,1,CARRY_OVER,2022-01-15T00:00:00
34,10,2021,2,67.04,20,0,PROMOTED,,2021/2022,1,PROMOTED,2022-06-15T00:00:00
