id,title,course_code,assessment_type,max_score,weight_pct,date_assigned,scheduled_date,hall,status,academic_year,template_key,instructor_id
1,Quiz 1 - ENG-011,1,Quiz,100.0,10,2025-10-02T00:00:00,2026-01-18T00:00:00,Hall A,Waiting,2025,quiz_1,1
2,Quiz 2 - ENG-011,1,Quiz,100.0,10,2026-01-05T00:00:00,2025-11-03T00:00:00,Hall A,Finished,2025,quiz_2,1
3,Midterm - ENG-011,1,Midterm,100.0,25,2025-12-02T00:00:00,2026-02-15T00:00:00,Lab 1,Active,2025,midterm,1
4,Final - ENG-011,1,Final,100.0,40,2025-11-10T00:00:00,2025-12-23T00:00:00,Lab 2,Active,2025,final,1
5,Practical - ENG-011,1,Practical,100.0,15,2025-10-07T00:00:00,2026-03-17T00:00:00,Hall B,Active,2025,practical,1
6,Quiz 1 - ENG-012,2,Quiz,100.0,10,2026-01-12T00:00:00,2026-03-13T00:00:00,Hall A,Finished,2025,quiz_1,10
7,Quiz 2 - ENG-012,2,Quiz,100.0,10,2026-01-25T00:00:00,2025-12-16T00:00:00,Hall B,Active,2025,quiz_2,10
8,Midterm - ENG-012,2,Midterm,100.0,25,2026-01-31T00:00:00,2026-02-27T00:00:00,Lab 1,Active,2025,midterm,10
9,Final - ENG-012,2,Final,100.0,40,2026-01-01T00:00:00,2026-03-24T00:00:00,Lab 1,Active,2025,final,10
10,Quiz 1 - ENG-013,3,Quiz,100.0,10,2025-11-04T00:00:00,2026-02-06T00:00:00,Hall B,Finished,2025,quiz_1,3
11,Quiz 2 - ENG-013,3,Quiz,100.0,10,2025-10-09T00:00:00,2026-01-23T00:00:00,Hall B,Finished,2025,quiz_2,3
12,Midterm - ENG-013,3,Midterm,100.0,25,2025-10-24T00:00:00,2026-03-11T00:00:00,Lab 2,Active,2025,midterm,3
13,Final - ENG-013,3,Final,100.0,40,2026-02-19T00:00:00,2026-01-01T00:00:00,Hall A,Active,2025,final,3
14,Practical - ENG-013,3,Practical,100.0,15,2025-10-14T00:00:00,2026-03-21T00:00:00,Hall B,Finished,2025,practical,3
15,Quiz 1 - ENG-014,4,Quiz,100.0,10,2026-01-21T00:00:00,2025-12-01T00:00:00,Lab 2,Waiting,2025,quiz_1,16
16,Quiz 2 - ENG-014,4,Quiz,100.0,10,2025-10-17T00:00:00,2026-02-26T00:00:00,Hall B,Waiting,2025,quiz_2,16
17,Midterm - ENG-014,4,Midterm,100.0,25,2026-01-22T00:00:00,2025-12-26T00:00:00,Hall B,Waiting,2025,midterm,16
18,Final - ENG-014,4,Final,100.0,40,2025-12-23T00:00:00,2025-12-17T00:00:00,Hall B,Waiting,2025,final,16
19,Practical - ENG-014,4,Practical,100.0,15,2026-02-25T00:00:00,2026-03-26T00:00:00,Hall B,Finished,2025,practical,16
20,Quiz 1 - ENG-021,5,Quiz,100.0,10,2026-01-14T00:00:00,2025-12-14T00:00:00,Hall A,Finished,2025,quiz_1,2
21,Quiz 2 - ENG-021,5,Quiz,100.0,10,2026-01-18T00:00:00,2026-01-23T00:00:00,Hall A,Finished,2025,quiz_2,2
22,Midterm - ENG-021,5,Midterm,100.0,25,2025-12-17T00:00:00,2025-12-31T00:00:00,Hall B,Waiting,2025,midterm,2
23,Final - ENG-021,5,Final,100.0,40,2025-11-12T00:00:00,2026-01-23T00:00:00,Lab 1,Finished,2025,final,2
24,Quiz 1 - ENG-022,6,Quiz,100.0,10,2025-12-02T00:00:00,2026-03-28T00:00:00,Hall B,Active,2025,quiz_1,9
25,Quiz 2 - ENG-022,6,Quiz,100.0,10,2026-02-20T00:00:00,2026-01-18T00:00:00,Lab 1,Active,2025,quiz_2,9
26,Midterm - ENG-022,6,Midterm,100.0,25,2025-11-01T00:00:00,2026-03-06T00:00:00,Lab 2,Finished,2025,midterm,9
27,Final - ENG-022,6,Final,100.0,40,2026-02-04T00:00:00,2025-12-27T00:00:00,Hall B,Active,2025,final,9
28,Quiz 1 - ENG-023,7,Quiz,100.0,10,2025-12-14T00:00:00,2026-01-03T00:00:00,Hall A,Finished,2025,quiz_1,13
29,Quiz 2 - ENG-023,7,Quiz,100.0,10,2025-12-25T00:00:00,2026-01-06T00:00:00,Lab 1,Finished,2025,quiz_2,13
30,Midterm - ENG-023,7,Midterm,100.0,25,2026-02-05T00:00:00,2025-11-30T00:00:00,Hall B,Active,2025,midterm,13
31,Final - ENG-023,7,Final,100.0,40,2026-02-27T00:00:00,2026-02-21T00:00:00,Hall A,Waiting,2025,final,13
32,Practical - ENG-023,7,Practical,100.0,15,2026-02-24T00:00:00,2025-12-15T00:00:00,Lab 2,Waiting,2025,practical,13
33,Quiz 1 - ENG-031,8,Quiz,100.0,10,2025-11-11T00:00:00,2025-11-15T00:00:00,Lab 1,Waiting,2025,quiz_1,17
34,Quiz 2 - ENG-031,8,Quiz,100.0,10,2026-01-28T00:00:00,2026-03-15T00:00:00,Lab 2,Finished,2025,quiz_2,17
35,Midterm - ENG-031,8,Midterm,100.0,25,2025-10-29T00:00:00,2025-12-25T00:00:00,Lab 2,Finished,2025,midterm,17
36,Final - ENG-031,8,Final,100.0,40,2025-12-23T00:00:00,2025-12-06T00:00:00,Hall B,Waiting,2025,final,17
37,Quiz 1 - ENG-032,9,Quiz,100.0,10,2025-11-08T00:00:00,2025-11-08T00:00:00,Hall A,Waiting,2025,quiz_1,6
38,Quiz 2 - ENG-032,9,Quiz,100.0,10,2026-01-02T00:00:00,2026-02-10T00:00:00,Hall A,Finished,2025,quiz_2,6
39,Midterm - ENG-032,9,Midterm,100.0,25,2025-11-18T00:00:00,2025-12-15T00:00:00,Hall A,Waiting,2025,midterm,6
40,Final - ENG-032,9,Final,100.0,40,2025-12-07T00:00:00,2026-03-22T00:00:00,Lab 2,Finished,2025,final,6
41,Quiz 1 - ENG-033,10,Quiz,100.0,10,2026-01-28T00:00:00,2026-03-13T00:00:00,Lab 2,Active,2025,quiz_1,16
42,Quiz 2 - ENG-033,10,Quiz,100.0,10,2025-11-23T00:00:00,2026-02-04T00:00:00,Lab 1,Waiting,2025,quiz_2,16
43,Midterm - ENG-033,10,Midterm,100.0,25,2025-11-30T00:00:00,2026-03-17T00:00:00,Lab 2,Waiting,2025,midterm,16
44,Final - ENG-033,10,Final,100.0,40,2025-10-11T00:00:00,2025-12-22T00:00:00,Hall A,Active,2025,final,16
45,Practical - ENG-033,10,Practical,100.0,15,2025-12-17T00:00:00,2025-12-31T00:00:00,Lab 2,Finished,2025,practical,16
46,Quiz 1 - ENG-034,11,Quiz,100.0,10,2025-10-21T00:00:00,2026-03-27T00:00:00,Lab 1,Waiting,2025,quiz_1,4
47,Quiz 2 - ENG-034,11,Quiz,100.0,10,2026-01-26T00:00:00,2025-11-18T00:00:00,Lab 1,Waiting,2025,quiz_2,4
48,Midterm - ENG-034,11,Midterm,100.0,25,2025-11-23T00:00:00,2026-03-27T00:00:00,Hall A,Waiting,2025,midterm,4
49,Final - ENG-034,11,Final,100.0,40,2025-11-08T00:00:00,2026-03-28T00:00:00,Hall B,Finished,2025,final,4
50,Practical - ENG-034,11,Practical,100.0,15,2026-02-28T00:00:00,2026-01-29T00:00:00,Hall A,Waiting,2025,practical,4
51,Quiz 1 - ENG-035,12,Quiz,100.0,10,2025-12-17T00:00:00,2025-12-21T00:00:00,Lab 2,Active,2025,quiz_1,4
52,Quiz 2 - ENG-035,12,Quiz,100.0,10,2026-02-08T00:00:00,2025-12-20T00:00:00,Hall A,Finished,2025,quiz_2,4
53,Midterm - ENG-035,12,Midterm,100.0,25,2025-11-20T00:00:00,2025-11-02T00:00:00,Lab 2,Active,2025,midterm,4
54,Final - ENG-035,12,Final,100.0,40,2025-10-22T00:00:00,2025-12-24T00:00:00,Lab 2,Waiting,2025,final,4
