id,name,course_code,description,department_id,instructor_id,doctor_id,drive_link,weekly_schedule,max_score,academic_year,semester,credits,passing_score,parent_course_id,tier_level,is_elective,has_practical,assessment_blueprint
1,Electrical Engineering Course 1,ENG-011,A course in Electrical Engineering,1,1,11,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
2,Electrical Engineering Course 2,ENG-012,A course in Electrical Engineering,1,10,4,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,False,
3,Electrical Engineering Course 3,ENG-013,A course in Electrical Engineering,1,3,8,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,2.0,60.0,,1,False,True,
4,Electrical Engineering Course 4,ENG-014,A course in Electrical Engineering,1,16,10,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,False,True,
5,Mechanical Engineering Course 1,ENG-021,A course in Mechanical Engineering,2,2,5,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,3.0,60.0,,1,True,False,
6,Mechanical Engineering Course 2,ENG-022,A course in Mechanical Engineering,2,9,7,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,True,False,
7,Mechanical Engineering Course 3,ENG-023,A course in Mechanical Engineering,2,13,8,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,True,
8,Civil Engineering Course 1,ENG-031,A course in Civil Engineering,3,17,4,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,3.0,60.0,,1,False,False,
9,Civil Engineering Course 2,ENG-032,A course in Civil Engineering,3,6,11,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,False,
10,Civil Engineering Course 3,ENG-033,A course in Civil Engineering,3,16,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,True,
11,Civil Engineering Course 4,ENG-034,A course in Civil Engineering,3,4,7,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,1,4.0,60.0,,1,False,True,
12,Civil Engineering Course 5,ENG-035,A course in Civil Engineering,3,4,9,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,True,True,
13,Civil Engineering Course 6,ENG-036,A course in Civil Engineering,3,5,16,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,False,
14,General Medicine Course 1,MED-041,A course in General Medicine,4,2,2,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,4.0,60.0,,1,True,False,
15,General Medicine Course 2,MED-042,A course in General Medicine,4,5,4,,"{""Sun"": ""10:00-12:00"", ""Tue"": ""14:00-16:00""}",100.0,2025,2,2.0,60.0,,1,False,False,
