id,student_id,course_id,enrolled_at,status,academic_year_snapshot,is_current,semester_snapshot,final_percentage,result,attendance_exception
1,2,2,2025-09-21T00:00:00,COMPLETED,1,False,2,64.2,PASSED,False
2,2,4,2025-09-18T00:00:00,ACTIVE,1,True,2,,,False
3,2,1,2025-09-24T00:00:00,ACTIVE,1,True,2,,,False
4,3,1,2025-09-30T00:00:00,COMPLETED,4,False,2,52.6,FAILED,False
5,3,2,2025-09-04T00:00:00,ACTIVE,4,True,2,,,False
6,3,3,2025-09-12T00:00:00,COMPLETED,4,False,2,59.6,FAILED,False
7,4,1,2025-09-26T00:00:00,FAILED,3,False,1,73.1,FAILED,False
8,4,2,2025-09-02T00:00:00,FAILED,3,False,1,40.2,FAILED,False
9,4,4,2025-09-08T00:00:00,ACTIVE,3,True,1,,,False
10,4,3,2025-09-12T00:00:00,ACTIVE,3,True,1,,,False
11,5,48,2025-09-20T00:00:00,DROPPED,2,False,1,,,False
12,5,50,2025-09-27T00:00:00,COMPLETED,2,False,1,90.8,PASSED,False
13,5,49,2025-09-11T00:00:00,ACTIVE,2,True,1,,,False
14,7,6,2025-09-07T00:00:00,FAILED,1,False,2,31.6,FAILED,False
15,7,7,2025-09-18T00:00:00,FAILED,1,False,2,44.8,FAILED,False
16,7,5,2025-09-09T00:00:00,ACTIVE,1,True,2,,,False
17,8,45,2025-09-09T00:00:00,ACTIVE,3,True,2,,,False
18,8,10,2025-09-10T00:00:00,ACTIVE,3,True,2,,,False
19,8,40,2025-09-23T00:00:00,ACTIVE,3,True,2,,,False
20,9,1,2025-09-22T00:00:00,ACTIVE,2,True,2,,,False
21,9,42,2025-09-28T00:00:00,COMPLETED,2,False,2,76.2,PASSED,False
22,9,30,2025-09-10T00:00:00,ACTIVE,2,True,2,,,False
23,10,2,2025-09-16T00:00:00,ACTIVE,1,True,2,,,False
24,10,4,2025-09-18T00:00:00,ACTIVE,1,True,2,,,False
25,10,1,2025-09-07T00:00:00,ACTIVE,1,True,2,,,False
