id,student_id,course_id,title,grade_type,score,max_score,created_at
1,2,2,Quiz 1,quiz,80.9,100.0,2026-01-03T00:00:00
2,2,2,Midterm,midterm,72.1,100.0,2025-12-23T00:00:00
3,2,2,Final Exam,final,88.4,100.0,2025-11-07T00:00:00
4,2,4,Quiz 1,quiz,69.8,100.0,2025-12-12T00:00:00
5,2,4,Midterm,midterm,96.6,100.0,2026-02-10T00:00:00
6,2,4,Final Exam,final,63.1,100.0,2025-12-26T00:00:00
7,2,1,Quiz 1,quiz,58.5,100.0,2025-12-04T00:00:00
8,2,1,Midterm,midterm,78.2,100.0,2025-11-21T00:00:00
9,2,1,Final Exam,final,90.5,100.0,2025-11-02T00:00:00
10,3,1,Quiz 1,quiz,49.3,100.0,2026-02-13T00:00:00
11,3,1,Midterm,midterm,67.0,100.0,2026-02-10T00:00:00
12,3,1,Final Exam,final,60.8,100.0,2026-02-28T00:00:00
13,3,2,Quiz 1,quiz,72.1,100.0,2025-12-10T00:00:00
14,3,2,Midterm,midterm,70.2,100.0,2025-12-11T00:00:00
15,3,2,Final Exam,final,90.2,100.0,2025-12-25T00:00:00
16,3,3,Quiz 1,quiz,68.4,100.0,2026-02-19T00:00:00
17,3,3,Midterm,midterm,90.6,100.0,2025-12-17T00:00:00
18,3,3,Final Exam,final,65.3,100.0,2026-01-02T00:00:00
19,4,1,Quiz 1,quiz,83.9,100.0,2026-02-05T00:00:00
20,4,1,Midterm,midterm,73.4,100.0,2025-12-27T00:00:00
21,4,1,Final Exam,final,95.9,100.0,2025-12-14T00:00:00
22,4,2,Quiz 1,quiz,47.8,100.0,2026-01-08T00:00:00
23,4,2,Midterm,midterm,52.5,100.0,2026-02-23T00:00:00
24,4,2,Final Exam,final,97.5,100.0,2025-11-04T00:00:00
25,4,4,Quiz 1,quiz,59.0,100.0,2026-01-13T00:00:00
26,4,4,Midterm,midterm,60.0,100.0,2025-12-28T00:00:00
27,4,4,Final Exam,final,56.9,100.0,2026-02-09T00:00:00
28,4,3,Quiz 1,quiz,87.2,100.0,2025-12-10T00:00:00
29,4,3,Midterm,midterm,51.2,100.0,2026-02-07T00:00:00
30,4,3,Final Exam,final,70.3,100.0,2025-12-11T00:00:00
31,5,50,Quiz 1,quiz,66.0,100.0,2025-11-29T00:00:00
32,5,50,Midterm,midterm,85.5,100.0,2025-11-25T00:00:00
33,5,50,Final Exam,final,61.5,100.0,2026-02-09T00:00:00
34,5,49,Quiz 1,quiz,76.2,100.0,2026-01-04T00:00:00
35,5,49,Midterm,midterm,52.4,100.0,2026-02-12T00:00:00
36,5,49,Final Exam,final,100.0,100.0,2026-01-17T00:00:00
37,7,6,Quiz 1,quiz,66.4,100.0,2025-11-04T00:00:00
38,7,6,Midterm,midterm,70.1,100.0,2025-12-25T00:00:00
39,7,6,Final Exam,final,94.8,100.0,2025-11-17T00:00:00
40,7,7,Quiz 1,quiz,61.2,100.0,2025-12-02T00:00:00
41,7,7,Midterm,midterm,95.0,100.0,2026-02-18T00:00:00
42,7,7,Final Exam,final,63.8,100.0,2026-02-09T00:00:00
43,7,5,Quiz 1,quiz,80.1,100.0,2025-12-18T00:00:00
44,7,5,Midterm,midterm,61.4,100.0,2025-12-04T00:00:00
45,7,5,Final Exam,final,49.7,100.0,2026-02-11T00:00:00
46,8,45,Quiz 1,quiz,76.2,100.0,2025-12-22T00:00:00
47,8,45,Midterm,midterm,79.6,100.0,2026-02-21T00:00:00
