id,session_id,timestamp,action_type,path,description,details_json
1,sess-35a9676a0f0f4e01,2025-11-22T00:00:00,NAVIGATE,/dashboard,User interaction event,
2,sess-905c97b964c38727,2025-12-06T00:00:00,NAVIGATE,/monitoring,User interaction event,
3,sess-ef7d6896982c6028,2025-10-30T00:00:00,NAVIGATE,/monitoring,User interaction event,
4,sess-7d91757aad2a4605,2025-10-08T00:00:00,ACTION,/dashboard,User interaction event,
5,sess-abf623bfda0a3d4d,2025-10-27T00:00:00,FILTER,/monitoring,User interaction event,
6,sess-9eab6802713d8814,2026-03-16T00:00:00,FILTER,/dashboard,User interaction event,
7,sess-e2fbd635800cd7bb,2026-01-01T00:00:00,FILTER,/students,User interaction event,
8,sess-bad1fc10bfe2b6eb,2026-03-22T00:00:00,VIEW,/courses,User interaction event,
9,sess-066dc67d4c6da657,2026-03-15T00:00:00,ACTION,/settings,User interaction event,
10,sess-70ead14bf6764dcb,2026-03-17T00:00:00,FILTER,/monitoring,User interaction event,
11,sess-19230197268c5596,2026-01-02T00:00:00,FILTER,/grades,User interaction event,
12,sess-b52ae60a2b38e62d,2026-03-21T00:00:00,FILTER,/courses,User interaction event,
13,sess-b84a26ecbef0f2b1,2026-01-17T00:00:00,NAVIGATE,/dashboard,User interaction event,
14,sess-c1a6b7f09e814ddd,2025-10-28T00:00:00,VIEW,/monitoring,User interaction event,
15,sess-920b09c06e91530b,2026-03-09T00:00:00,VIEW,/courses,User interaction event,
16,sess-6b2682312710587d,2025-11-06T00:00:00,ACTION,/settings,User interaction event,
17,sess-6d868f3725ec83fd,2025-10-22T00:00:00,VIEW,/settings,User interaction event,
18,sess-19dc83a8dcc7f281,2025-12-20T00:00:00,FILTER,/attendance,User interaction event,
19,sess-920b09c06e91530b,2026-04-17T00:00:00,VIEW,/grades,User interaction event,
20,sess-35a9676a0f0f4e01,2026-01-11T00:00:00,FILTER,/monitoring,User interaction event,
21,sess-635cde176dee0a93,2026-03-09T00:00:00,VIEW,/dashboard,User interaction event,
22,sess-aed2aa963b7afcbe,2025-10-28T00:00:00,VIEW,/settings,User interaction event,
23,sess-4d22a42256fd7c5a,2026-02-26T00:00:00,VIEW,/dashboard,User interaction event,
24,sess-ac3f3496645ca085,2026-04-23T00:00:00,FILTER,/students,User interaction event,
